batch,country,iso2,official_source,destination_seed,destination_type,modules,editorial_standard,identity_gate,source_gate,content_gate,media_gate,seo_schema_gate,staging_gate
WORLD-03,Netherlands,NL,https://www.holland.com/global/tourism,Amsterdam,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Netherlands,NL,https://www.holland.com/global/tourism,Rotterdam,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Netherlands,NL,https://www.holland.com/global/tourism,The Hague,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Netherlands,NL,https://www.holland.com/global/tourism,Giethoorn,village_region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Netherlands,NL,https://www.holland.com/global/tourism,Wadden Islands,island_region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Ireland,IE,https://www.ireland.com/en-us/,Dublin,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Ireland,IE,https://www.ireland.com/en-us/,Cork,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Ireland,IE,https://www.ireland.com/en-us/,Galway,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Ireland,IE,https://www.ireland.com/en-us/,Wild Atlantic Way,route_region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Ireland,IE,https://www.ireland.com/en-us/,Killarney,city_region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Türkiye,TR,https://goturkiye.com/,Istanbul,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Türkiye,TR,https://goturkiye.com/,Cappadocia,region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Türkiye,TR,https://goturkiye.com/,Bodrum,city_region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Türkiye,TR,https://goturkiye.com/,Antalya,city_region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Türkiye,TR,https://goturkiye.com/,Izmir,city_region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,India,IN,https://www.incredibleindia.gov.in/en,Delhi,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,India,IN,https://www.incredibleindia.gov.in/en,Jaipur,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,India,IN,https://www.incredibleindia.gov.in/en,Mumbai,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,India,IN,https://www.incredibleindia.gov.in/en,Goa,state_region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,India,IN,https://www.incredibleindia.gov.in/en,Udaipur,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Indonesia,ID,https://www.indonesia.travel/in/en,Bali,island_region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Indonesia,ID,https://www.indonesia.travel/in/en,Jakarta,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Indonesia,ID,https://www.indonesia.travel/in/en,Labuan Bajo,city_region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Indonesia,ID,https://www.indonesia.travel/in/en,Komodo National Park,park,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Indonesia,ID,https://www.indonesia.travel/in/en,Raja Ampat,island_region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,French Polynesia,PF,https://www.tahititourisme.com/,Tahiti,island,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,French Polynesia,PF,https://www.tahititourisme.com/,Bora Bora,island,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,French Polynesia,PF,https://www.tahititourisme.com/,Moorea,island,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,French Polynesia,PF,https://www.tahititourisme.com/,Rangiroa,atoll,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,French Polynesia,PF,https://www.tahititourisme.com/,Tetiaroa,atoll,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
