batch,country,destination,destination_type,official_source,modules_per_destination,identity_gate,source_gate,content_gate,media_gate,seo_schema_gate,staging_gate
WORLD-01,Bahamas,Eleuthera & Harbour Island,islands,https://www.bahamas.com/islands,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Bahamas,The Abacos,islands,https://www.bahamas.com/islands,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Bahamas,Andros,island,https://www.bahamas.com/islands,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Canada,Toronto,city,https://travel.destinationcanada.com/en-ca,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Canada,Montréal,city,https://travel.destinationcanada.com/en-ca,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Canada,Québec City,city,https://travel.destinationcanada.com/en-ca,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Canada,Vancouver,city,https://travel.destinationcanada.com/en-ca,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Canada,Banff & Canadian Rockies,region,https://travel.destinationcanada.com/en-ca,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Chile,Santiago,city,https://chile.travel/en/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Chile,Atacama,region,https://chile.travel/en/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Chile,Torres del Paine & Patagonia,region,https://chile.travel/en/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Chile,Valparaíso,city,https://chile.travel/en/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Chile,Rapa Nui,island,https://chile.travel/en/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Costa Rica,San José,city,https://www.visitcostarica.com/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Costa Rica,Arenal & La Fortuna,region,https://www.visitcostarica.com/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Costa Rica,Monteverde,region,https://www.visitcostarica.com/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Costa Rica,Guanacaste,region,https://www.visitcostarica.com/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Costa Rica,Manuel Antonio,park_gateway,https://www.visitcostarica.com/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Croatia,Zagreb,city,https://croatia.hr/en-gb,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Croatia,Dubrovnik,city,https://croatia.hr/en-gb,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Croatia,Split,city,https://croatia.hr/en-gb,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Croatia,Hvar,island,https://croatia.hr/en-gb,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Croatia,Istria & Rovinj,region,https://croatia.hr/en-gb,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Egypt,Cairo & Giza,city_region,https://www.experienceegypt.eg/en/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Egypt,Luxor & Nile,region,https://www.experienceegypt.eg/en/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Egypt,Aswan & Nile,region,https://www.experienceegypt.eg/en/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Egypt,Sharm El-Sheikh & Red Sea,region,https://www.experienceegypt.eg/en/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Egypt,Deserts & Oases,region,https://www.experienceegypt.eg/en/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Mexico,Mexico City,city,https://visitmexico.com/en/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Mexico,Riviera Maya & Tulum,region,https://visitmexico.com/en/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Mexico,Cancún & Isla Mujeres,region,https://visitmexico.com/en/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Mexico,Los Cabos,region,https://visitmexico.com/en/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Mexico,Oaxaca,city_region,https://visitmexico.com/en/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
