batch,country,iso2,official_source,destination_seed,destination_type,modules,identity_gate,source_gate,content_gate,media_gate,seo_schema_gate,staging_gate
WORLD-02,Thailand,TH,https://www.tourismthailand.org/home,Bangkok,city,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Thailand,TH,https://www.tourismthailand.org/home,Chiang Mai,city,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Thailand,TH,https://www.tourismthailand.org/home,Phuket,island,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Thailand,TH,https://www.tourismthailand.org/home,Krabi,region,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Thailand,TH,https://www.tourismthailand.org/home,Koh Samui,island,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Tanzania,TZ,https://www.tanzaniatourism.go.tz/,Serengeti National Park,park,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Tanzania,TZ,https://www.tanzaniatourism.go.tz/,Ngorongoro,conservation_area,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Tanzania,TZ,https://www.tanzaniatourism.go.tz/,Zanzibar,island_region,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Tanzania,TZ,https://www.tanzaniatourism.go.tz/,Kilimanjaro,region,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Tanzania,TZ,https://www.tanzaniatourism.go.tz/,Arusha,city,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Singapore,SG,https://www.visitsingapore.com/,Singapore Core,city_state,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Singapore,SG,https://www.visitsingapore.com/,Sentosa,island,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Singapore,SG,https://www.visitsingapore.com/,Marina Bay,urban_district,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Singapore,SG,https://www.visitsingapore.com/,Chinatown,urban_district,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Singapore,SG,https://www.visitsingapore.com/,Kampong Gelam,urban_district,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
